Conc,mag,mag_per_atom
0,192,3
1.56,195,3.04
3.12,198,3.09
4.68,201,3.14
6.25,204,3.18
7.81,207,3.23
9.37,210,3.28
10.9,213,3.32
12.5,216,3.37
15.6,219,3.42
23.4,234,3.65
31.25,249,3.89
35.9,258,4.03
