Conc,mag,mag_per_atom
0,256,4
1.56,254,3.96
3.12,252,3.93
4.68,250,3.90
6.25,248,3.875
7.81,246,3.843
9.37,244,3.812
10.9,242,3.781
12.5,240,3.718
15.6,236,3.687
23.4,226,3.53
31.2,216,3.37
39,206,3.218
46.8,196,3.06
50,192,3.0
